,road,town,location,vehicles,accident_types,hospital,injuries,brands,day,time,age,latitude,longitude,hourly_temperature_2m,hourly_precipitation,hourly_rain,hourly_showers,hourly_visibility,hourly_windspeed_10m,hourly_winddirection_10m,daily_weather_code,daily_rain_sum,daily_wind_gusts_10m_max,daily_wind_speed_10m_max,daily_wind_direction_10m_dominant,weather_matched_hour_utc,vehicles_parsed,accident_types_parsed,hospital_parsed,injuries_parsed,brands_parsed,hour,num_vehicles,num_brands,month,year,has_motorcycle,has_car,has_pedestrian,has_van,injury_severity,is_grievous,day_num,is_weekend,severity_label
10,Coast Road,In-Naxxar,"('Coast Road', 'In-Naxxar')",['Motorcycle'],['Accident'],['Mater Dei'],['Serious'],['Honda'],Sunday,08:00,40,35.9133396,14.4432851,13.71899986,0,0,0,45560,11.440979,294.1455383,3,0,41.39999771,22.6571312,308.3482361,2025-03-16 22:00:00+00:00,['Motorcycle'],['Accident'],['Mater Dei'],['Serious'],['Honda'],8,1,1,3,2025,1,0,0,0,2,0,6,1,Serious
11,Cospicua Seafront,Bormla,"('Cospicua Seafront', 'Bormla')","['Pedestrian', 'Car']",['Accident'],['Mater Dei'],"['Some', 'Grievous']",['Nissan'],Tuesday,13:00,48,35.8825817,14.522721,15.53649998,0,0,0,8060,10.02843857,291.0375671,3,0,38.88000107,15.97848606,336.491333,2025-04-22 22:00:00+00:00,"['Pedestrian', 'Car']",['Accident'],['Mater Dei'],"['Some', 'Grievous']",['Nissan'],13,2,1,4,2025,0,1,1,0,3,1,1,0,Grievous
12,Żabbar Road,Il-Fgura,"('Żabbar Road', 'Il-Fgura')","['Pedestrian', 'Car']",['Accident'],['Mater Dei'],['Grievous'],['Ford'],Thursday,10:15,32,35.8728325,14.520799,19.80200005,0,0,0,47080,13.7225647,85.48609924,3,0,39.23999786,18.71999931,62.67471695,2025-05-08 22:00:00+00:00,"['Pedestrian', 'Car']",['Accident'],['Mater Dei'],['Grievous'],['Ford'],10.25,2,1,5,2025,0,1,1,0,3,1,3,0,Grievous
13,Triq Sant 'Elizabetta,Ix-Xewkija,"(""Triq Sant 'Elizabetta"", 'Ix-Xewkija')",['Motorcycle'],['Accident'],['Gozo General Hospital'],['Grievous'],['Kentoya'],Saturday,22:00,64,36.0323529,14.2609952,24.62049866,0,0,0,26600,2.41495347,116.5649872,0,0,25.19999886,13.20272636,223.7546692,2025-06-14 22:00:00+00:00,['Motorcycle'],['Accident'],['Gozo General Hospital'],['Grievous'],['Kentoya'],22,1,1,6,2025,1,0,0,0,3,1,5,1,Grievous
14,Sa Maison Street,Tal-Pieta',"('Sa Maison Street', ""Tal-Pieta'"")","['Pedestrian', 'Car']",['Accident'],['Mater Dei'],[],['Hyundai'],Sunday,08:30,77,35.892353,14.4934881,23.11250114,0,0,0,47860,3.054701328,135.0001068,2,0,26.63999939,10.31511497,109.1855698,2025-09-21 22:00:00+00:00,"['Pedestrian', 'Car']",['Accident'],['Mater Dei'],[],['Hyundai'],8.5,2,1,9,2025,0,1,1,0,0,0,6,1,None/Unknown
15,Luqa Road,Ħal Luqa,"('Luqa Road', 'Ħal Luqa')","['Pedestrian', 'Car']",['Accident'],['Mater Dei'],"['Some', 'Grievous']",['Nissan'],Thursday,12:00,80,35.859653,14.4892913,13.35700035,0,0,0,29360,6.21456337,259.9920959,3,0,60.12000275,27.11734581,281.5909119,2025-04-17 22:00:00+00:00,"['Pedestrian', 'Car']",['Accident'],['Mater Dei'],"['Some', 'Grievous']",['Nissan'],12,2,1,4,2025,0,1,1,0,3,1,3,0,Grievous
16,Triq il-Baċir,Raħal Ġdid,"('Triq il-Baċir', 'Raħal Ġdid')",['Car'],"['Collision', 'Accident']",['Mater Dei'],['Grievous'],['Toyota'],Friday,07:30,80,35.8717994,14.5073748,12.4649992,0,0,0,56400,7.993297577,97.76508331,80,0,32.76000214,13.39761162,87.17059326,2025-02-21 22:00:00+00:00,['Car'],"['Collision', 'Accident']",['Mater Dei'],['Grievous'],['Toyota'],7.5,1,1,2,2025,0,1,0,0,3,1,4,0,Grievous
17,Triq Sir Philip Pullicino,L-Imtarfa,"('Triq Sir Philip Pullicino', 'L-Imtarfa')","['Pedestrian', 'Car']",['Accident'],['Mater Dei'],['Grievous'],['Ford'],Sunday,10:15,13,35.8915754,14.3978902,14.23600006,0.100000001,0,0.100000001,20500,29.21550179,292.4569702,3,0,58.67999649,29.21550179,301.6887207,2024-12-22 22:00:00+00:00,"['Pedestrian', 'Car']",['Accident'],['Mater Dei'],['Grievous'],['Ford'],10.25,2,1,12,2024,0,1,1,0,3,1,6,1,Grievous
18,Triq Nazzjonali,Floriana,"('Triq Nazzjonali', 'Floriana')",['Motorcycle'],"['Collision', 'Accident']",['Mater Dei'],['Grievous'],['Peugeot'],Friday,13:30,61,35.8929838,14.5052716,12.47149944,0,0,0,56400,7.993297577,97.76508331,80,0,32.76000214,13.39761162,87.17059326,2025-02-21 22:00:00+00:00,['Motorcycle'],"['Collision', 'Accident']",['Mater Dei'],['Grievous'],['Peugeot'],13.5,1,1,2,2025,1,0,0,0,3,1,4,0,Grievous
19,Triq il-Perit Dom Mintoff,Raħal Ġdid,"('Triq il-Perit Dom Mintoff', 'Raħal Ġdid')",['Motorcycle'],['Accident'],['Mater Dei'],['Serious'],['Honda'],Sunday,21:00,54,35.8717994,14.5073748,23.2650013,0,0,0,20600,5.447788239,277.5945435,3,0,25.55999947,9.746630669,270.2580566,2025-09-14 22:00:00+00:00,['Motorcycle'],['Accident'],['Mater Dei'],['Serious'],['Honda'],21,1,1,9,2025,1,0,0,0,2,0,6,1,Serious
20,Triq Emmanuele Luigi Galizia,Il-Marsa,"('Triq Emmanuele Luigi Galizia', 'Il-Marsa')",['Motorcycle'],"['Collision', 'Accident']",['Mater Dei'],['Grievous'],"['Daelim', 'Bmw']",Saturday,15:15,55,35.882892,14.4944898,25.69249916,0,0,0,45420,10.82995796,291.4478149,45,0,29.51999855,12.10157013,297.8069458,2025-08-30 22:00:00+00:00,['Motorcycle'],"['Collision', 'Accident']",['Mater Dei'],['Grievous'],"['Daelim', 'Bmw']",15.25,1,2,8,2025,1,0,0,0,3,1,5,1,Grievous
21,Dawret il-Gudja,Il-Gudja,"('Dawret il-Gudja', 'Il-Gudja')",['Car'],"['Collision', 'Accident']",['Mater Dei'],['Serious'],"['Ford', 'Skoda']",Saturday,19:45,50,35.8483258,14.5030882,15.75049973,0,0,0,33300,10.79999924,306.8699646,3,0,37.79999924,17.31745911,256.5732117,2024-12-14 22:00:00+00:00,['Car'],"['Collision', 'Accident']",['Mater Dei'],['Serious'],"['Ford', 'Skoda']",19.75,1,2,12,2024,0,1,0,0,2,0,5,1,Serious
22,Triq L. Zamenhof corner with Triq Xmiexi,L-Imsida,"('Triq L. Zamenhof corner with Triq Xmiexi', 'L-Imsida')","['Pedestrian', 'Car']",['Accident'],['Mater Dei'],['Grievous'],['Ford'],Wednesday,10:00,53,35.8956943,14.4891829,18.84449959,0,0,0,39560,4.80299902,347.0053711,3,0,32.76000214,15.46324444,0.535450697,2025-05-07 22:00:00+00:00,"['Pedestrian', 'Car']",['Accident'],['Mater Dei'],['Grievous'],['Ford'],10,2,1,5,2025,0,1,1,0,3,1,2,0,Grievous
