town,date_published,injuries,fatalities_mentioned,fatalities_count,accident_types,day,time,age,hourly_precipitation,hourly_rain,hourly_showers,daily_rain_sum,hourly_visibility,daily_weather_code,vehicles,severity_score,hourly_visibility_km,injuries_list,hour,month,month_name,month_num,vehicles_list
Ħal Tarxien,2025-02-09,"['Slight', 'Grievous']",False,,"['Collision', 'Accident']",Sunday,01:30,25,0.0,0.0,0.0,0.0,3360.0,95.0,"['Car', 'Vehicle']",3,3.36,"['Slight', 'Grievous']",1,2025-02-01,Feb,2,"['Car', 'Vehicle']"
Marsaxlokk,2025-04-13,['Grievous'],False,,['Accident'],Sunday,08:00,35,0.0,0.0,0.0,0.0,34580.0,3.0,['Car'],3,34.58,['Grievous'],8,2025-04-01,Apr,4,['Car']
Ħaż-Żebbuġ,2025-08-27,['Grievous'],False,,"['Collision', 'Accident']",Wednesday,18:30,32,0.0,0.0,0.0,0.0,14720.0,2.0,"['Motorcycle', 'Car']",3,14.72,['Grievous'],18,2025-08-01,Aug,8,"['Motorcycle', 'Car']"
Tas-Sliema,2025-01-23,['Grievous'],False,,"['Collision', 'Accident']",Thursday,18:00,47,0.0,0.0,0.0,0.0,29940.0,3.0,"['Motorcycle', 'Car']",3,29.94,['Grievous'],18,2025-01-01,Jan,1,"['Motorcycle', 'Car']"
Floriana,2025-06-22,['Serious'],False,,['Accident'],Sunday,13:15,57,0.0,0.0,0.0,0.0,50320.0,2.0,"['Pedestrian', 'Car']",2,50.32,['Serious'],13,2025-06-01,Jun,6,"['Pedestrian', 'Car']"
Ħ'Attard,2025-02-05,['Grievous'],False,,['Accident'],Wednesday,09:00,52,0.0,0.0,0.0,0.0,5660.0,3.0,['Motorcycle'],3,5.66,['Grievous'],9,2025-02-01,Feb,2,['Motorcycle']
In-Naxxar,2024-12-19,[],False,,['Accident'],Thursday,10:45,78,0.0,0.0,0.0,0.0,43520.0,3.0,['Car'],0,43.52,[],10,2024-12-01,Dec,12,['Car']
Ħaż-Żebbuġ,2025-03-16,"['Slight', 'Grievous']",False,,['Accident'],Sunday,08:00,68,0.0,0.0,0.0,0.0,33520.0,3.0,['Motorcycle'],3,33.52,"['Slight', 'Grievous']",8,2025-03-01,Mar,3,['Motorcycle']
Birkirkara,2025-07-18,['Grievous'],False,,"['Collision', 'Accident']",Friday,22:15,41,0.0,0.0,0.0,0.0,15260.0,2.0,"['Scooter', 'Car']",3,15.26,['Grievous'],22,2025-07-01,Jul,7,"['Scooter', 'Car']"
Tal-Pieta',2025-08-12,['Grievous'],False,,"['Collision', 'Accident']",Tuesday,07:00,62,0.0,0.0,0.0,0.0,20080.0,1.0,['Car'],3,20.08,['Grievous'],7,2025-08-01,Aug,8,['Car']
