town,date_published,injuries,fatalities_mentioned,fatalities_count,accident_types,day,time,age,hourly_precipitation,hourly_rain,hourly_showers,daily_rain_sum,hourly_visibility,daily_weather_code,vehicles,severity_score,hourly_visibility_km
Iż-Żurrieq,2025-04-13,"['Slight', 'Grievous']",False,,"['Collision', 'Accident']",Sunday,15:15,81,0.0,0.0,0.0,0.0,34580.0,3.0,['Car'],3,34.58
In-Naxxar,2025-01-16,['Grievous'],False,,"['Collision', 'Accident']",Thursday,10:15,45,0.6000000238418579,0.2000000029802322,0.4000000059604645,0.800000011920929,35460.0,80.0,['Motorcycle'],3,35.46
San Pawl Il-Baħar,2025-06-05,['Grievous'],False,,['Accident'],Thursday,21:15,21,0.0,0.0,0.0,0.0,65020.0,3.0,"['Motorcycle', 'Vehicle']",3,65.02
In-Naxxar,2025-10-06,['Grievous'],False,,['Accident'],Monday,09:30,84,0.0,0.0,0.0,0.0,75180.0,80.0,"['Pedestrian', 'Car']",3,75.18
L-Imġarr,2025-08-11,['Grievous'],False,,['Accident'],Monday,19:00,33,0.0,0.0,0.0,0.0,30140.0,1.0,['Motorcycle'],3,30.14
In-Naxxar,2025-01-26,['Grievous'],False,,['Accident'],Sunday,14:30,46,0.0,0.0,0.0,0.0,25660.0,3.0,['Motorcycle'],3,25.66
Ħaż-Żabbar,2025-08-07,[],False,,"['Collision', 'Accident']",Thursday,11:30,48,0.0,0.0,0.0,0.0,23240.0,2.0,"['Motorcycle', 'Car']",0,23.24
Ħaż-Żabbar,2025-08-07,['Grievous'],False,,"['Collision', 'Accident']",Thursday,12:30,23,0.0,0.0,0.0,0.0,23240.0,2.0,"['Motorcycle', 'Car']",3,23.24
Iż-Żejtun,2024-12-27,['Grievous'],False,,"['Collision', 'Accident']",Friday,12:00,62,0.0,0.0,0.0,0.0,58540.0,80.0,"['Motorcycle', 'Truck']",3,58.54
In-Naxxar,2025-08-18,['Serious'],False,,"['Collision', 'Accident']",Monday,16:00,44,0.0,0.0,0.0,0.0,10760.0,2.0,"['Motorcycle', 'Car']",2,10.76
Ir-Rabat,2025-09-16,[],False,,['Accident'],Tuesday,12:15,29,0.0,0.0,0.0,0.0,21560.0,2.0,"['Motorcycle', 'Pedestrian', 'Car']",0,21.56
San Ġiljan,2024-12-26,['Grievous'],False,,['Accident'],Thursday,15:30,28,0.0,0.0,0.0,0.0,48820.0,3.0,['Motorcycle'],3,48.82
Ħal Qormi,2025-05-27,[],True,,['Accident'],Tuesday,12:30,35,0.0,0.0,0.0,0.0,35460.0,2.0,['Motorcycle'],0,35.46
Ir-Rabat,2025-04-18,[],False,,"['Collision', 'Accident']",Friday,02:00,46,0.0,0.0,0.0,0.0,47240.0,3.0,['Motorcycle'],0,47.24
Il-Marsa,2025-05-24,['Grievous'],False,,"['Collision', 'Accident']",Saturday,07:15,65,0.1000000014901161,0.0,0.1000000014901161,0.0,30540.0,3.0,"['Motorcycle', 'Car']",3,30.54
Ħal Balzan,2024-12-19,['Grievous'],False,,['Accident'],Thursday,08:15,44,0.0,0.0,0.0,0.0,41760.0,3.0,"['Pedestrian', 'Car']",3,41.76
San Ġwann,2025-03-28,['Grievous'],False,,['Accident'],Friday,10:45,33,0.0,0.0,0.0,0.0,42060.0,80.0,"['Bike', 'Car', 'Truck']",3,42.06
